"Date","Price","Open","High","Low","Change %"
"08/24/2017","18.950","18.950","18.950","18.950","-0.03%"
"08/23/2017","18.955","18.955","18.955","18.955","0.01%"
"08/22/2017","18.954","18.954","18.954","18.954","0.00%"
"08/21/2017","18.954","18.954","18.954","18.954","-1.87%"
"08/20/2017","19.315","19.315","19.315","19.315","-0.11%"
"08/18/2017","19.337","19.337","19.337","19.337","0.11%"
"08/17/2017","19.315","19.315","19.315","19.315","1.90%"
"08/16/2017","18.954","18.954","18.954","18.954","-0.01%"
"08/15/2017","18.955","18.955","18.955","18.955","0.42%"
"08/14/2017","18.875","18.875","18.875","18.875","0.91%"
"08/13/2017","18.705","18.705","18.705","18.705","0.00%"
"08/11/2017","18.705","18.705","18.705","18.705","0.00%"
"08/10/2017","18.705","18.705","18.705","18.705","-2.07%"
"08/09/2017","19.100","19.100","19.100","19.100","1.09%"
"08/08/2017","18.894","18.894","18.894","18.894","-0.01%"
"08/07/2017","18.895","18.895","18.895","18.895","-2.92%"
"08/06/2017","19.464","19.464","19.464","19.464","0.00%"
"08/04/2017","19.464","19.464","19.464","19.464","-5.52%"
"08/03/2017","20.601","20.601","20.601","20.601","0.00%"
"08/02/2017","20.602","20.602","20.602","20.602","0.00%"
"08/01/2017","20.602","20.602","20.602","20.602","0.00%"
"07/31/2017","20.601","20.601","20.601","20.601","-2.14%"
"07/30/2017","21.051","21.051","21.051","21.051","0.00%"
"07/28/2017","21.051","21.051","21.051","21.051","0.00%"
"07/27/2017","21.052","21.052","21.052","21.052","-2.56%"
"07/26/2017","21.605","21.605","21.605","21.605","0.00%"
"07/25/2017","21.606","21.606","21.606","21.606","0.01%"
"07/24/2017","21.604","21.604","21.604","21.604","-0.58%"
"07/21/2017","21.731","21.731","21.731","21.731","0.00%"
"07/20/2017","21.731","21.731","21.731","21.731","-0.52%"
"07/19/2017","21.844","21.844","21.844","21.844","0.00%"
"07/18/2017","21.845","21.845","21.845","21.845","0.00%"
"07/17/2017","21.844","21.844","21.844","21.844","-1.01%"
"07/16/2017","22.066","22.066","22.066","22.066","0.00%"
"07/14/2017","22.066","22.066","22.066","22.066","0.00%"
"07/13/2017","22.066","22.066","22.066","22.066","-1.01%"
"07/12/2017","22.292","22.292","22.292","22.292","0.00%"
"07/11/2017","22.292","22.292","22.292","22.292","5.91%"
"07/10/2017","21.048","21.048","21.048","21.048","0.00%"
"07/09/2017","21.049","21.049","21.049","21.049","0.00%"
"07/07/2017","21.049","21.049","21.049","21.049","0.01%"
"07/06/2017","21.047","21.047","21.047","21.047","0.00%"
"07/05/2017","21.048","21.048","21.048","21.048","0.00%"
"07/04/2017","21.048","21.048","21.048","21.048","0.00%"
"07/03/2017","21.049","21.049","21.049","21.049","3.02%"
"07/02/2017","20.431","20.431","20.431","20.431","0.00%"
"07/01/2017","20.431","20.431","20.431","20.431","0.00%"
"06/30/2017","20.431","20.431","20.431","20.431","0.00%"
"06/29/2017","20.432","20.492","20.492","20.432","-0.29%"
"06/28/2017","20.491","20.491","20.491","20.491","0.00%"
"06/27/2017","20.491","20.491","20.491","20.491","0.00%"
"06/26/2017","20.491","20.491","20.491","20.491","0.49%"
"06/25/2017","20.391","20.391","20.391","20.391","0.00%"
"06/23/2017","20.391","20.391","20.391","20.391","0.00%"
"06/22/2017","20.391","20.391","20.391","20.391","0.40%"
"06/21/2017","20.310","20.310","20.310","20.310","0.00%"
"06/20/2017","20.310","20.310","20.310","20.310","0.00%"
"06/19/2017","20.309","20.309","20.309","20.309","0.00%"
"06/18/2017","20.310","20.310","20.310","20.310","0.00%"
"06/16/2017","20.310","20.310","20.310","20.310","0.00%"
"06/15/2017","20.310","20.310","20.310","20.310","0.18%"
"06/14/2017","20.274","20.274","20.274","20.274","0.00%"
"06/13/2017","20.275","20.275","20.275","20.275","0.00%"
"06/12/2017","20.275","20.275","20.275","20.275","-0.67%"
"06/11/2017","20.412","20.412","20.412","20.412","0.00%"
"06/09/2017","20.412","20.412","20.412","20.412","0.01%"
"06/08/2017","20.410","20.410","20.410","20.410","0.05%"
"06/07/2017","20.400","20.400","20.400","20.400","0.00%"
"06/06/2017","20.400","20.400","20.400","20.400","0.00%"
"06/05/2017","20.400","20.400","20.400","20.400","-0.49%"
"06/04/2017","20.500","20.500","20.500","20.500","0.00%"
"06/02/2017","20.500","20.500","20.500","20.500","1.12%"
"06/01/2017","20.272","20.272","20.272","20.272","4.79%"
"05/31/2017","19.345","19.345","19.345","19.345","0.00%"
"05/30/2017","19.345","19.345","19.345","19.345","-1.86%"
"05/29/2017","19.711","19.711","19.711","19.711","-0.01%"
"05/28/2017","19.712","19.712","19.712","19.712","0.00%"
"05/26/2017","19.712","19.712","19.712","19.712","0.00%"
"05/25/2017","19.712","19.712","19.712","19.712","0.00%"
"05/24/2017","19.712","19.712","19.712","19.712","0.00%"
"05/23/2017","19.712","19.712","19.712","19.712","0.00%"
"05/22/2017","19.712","19.712","19.712","19.712","0.01%"
"05/21/2017","19.711","19.711","19.711","19.711","0.00%"
"05/19/2017","19.711","19.711","19.711","19.711","0.01%"
"05/18/2017","19.710","19.710","19.710","19.710","1.62%"
"05/17/2017","19.395","19.395","19.395","19.395","-1.05%"
"05/16/2017","19.600","19.600","19.600","19.600","1.06%"
"05/15/2017","19.394","19.394","19.394","19.394","0.42%"
"05/14/2017","19.313","19.313","19.313","19.313","0.00%"
"05/12/2017","19.313","19.313","19.313","19.313","0.00%"
"05/11/2017","19.313","19.313","19.313","19.313","0.36%"
"05/10/2017","19.243","19.243","19.243","19.243","0.01%"
"05/09/2017","19.242","19.242","19.242","19.242","0.00%"
"05/08/2017","19.242","19.242","19.242","19.242","0.01%"
"05/07/2017","19.241","19.241","19.241","19.241","0.00%"
"05/05/2017","19.241","19.241","19.241","19.241","-0.01%"
"05/04/2017","19.242","19.242","19.242","19.242","0.00%"
"05/03/2017","19.242","19.242","19.242","19.242","0.00%"
"05/02/2017","19.242","19.242","19.242","19.242","0.00%"
"05/01/2017","19.242","19.242","19.242","19.242","0.00%"
"04/30/2017","19.242","19.242","19.242","19.242","0.94%"
"04/28/2017","19.062","19.062","19.062","19.062","-0.01%"
"04/27/2017","19.063","19.063","19.063","19.063","0.00%"
"04/26/2017","19.063","19.063","19.063","19.063","-0.93%"
"04/25/2017","19.241","19.241","19.241","19.241","-0.01%"
"04/24/2017","19.242","19.242","19.242","19.242","-0.01%"
"04/23/2017","19.243","19.243","19.243","19.243","0.00%"
"04/22/2017","19.243","19.243","19.243","19.243","0.00%"
"04/21/2017","19.243","19.243","19.243","19.243","0.00%"
"04/20/2017","19.243","19.243","19.243","19.243","0.01%"
"04/19/2017","19.242","19.242","19.242","19.242","0.00%"
"04/18/2017","19.242","19.242","19.242","19.242","0.00%"
"04/17/2017","19.242","19.242","19.242","19.242","0.00%"
"04/14/2017","19.242","19.242","19.242","19.242","0.00%"
"04/13/2017","19.242","19.242","19.242","19.242","0.00%"
"04/12/2017","19.242","19.242","19.242","19.242","-0.01%"
"04/11/2017","19.243","19.243","19.243","19.243","0.01%"
"04/10/2017","19.242","19.242","19.242","19.242","0.00%"
"04/09/2017","19.242","19.242","19.242","19.242","0.00%"
"04/07/2017","19.242","19.242","19.242","19.242","-0.01%"
"04/06/2017","19.243","19.243","19.243","19.243","0.35%"
"04/05/2017","19.176","19.176","19.176","19.176","-0.34%"
"04/04/2017","19.242","19.242","19.242","19.242","0.34%"
"04/03/2017","19.177","19.177","19.177","19.177","-0.04%"
"04/02/2017","19.185","19.185","19.185","19.185","0.00%"
"03/31/2017","19.185","19.185","19.185","19.185","0.01%"
"03/30/2017","19.184","19.184","19.184","19.184","0.00%"
"03/29/2017","19.184","19.184","19.184","19.184","-0.15%"
"03/28/2017","19.213","19.213","19.213","19.213","-0.01%"
"03/27/2017","19.214","19.214","19.214","19.214","0.00%"
"03/26/2017","19.214","19.214","19.214","19.214","0.00%"
"03/24/2017","19.214","19.214","19.214","19.214","-0.01%"
"03/23/2017","19.215","19.215","19.215","19.215","-0.12%"
"03/22/2017","19.239","19.239","19.239","19.239","0.01%"
"03/21/2017","19.238","19.238","19.238","19.238","-0.01%"
"03/20/2017","19.239","19.239","19.239","19.239","0.32%"
"03/19/2017","19.178","19.178","19.178","19.178","0.00%"
"03/18/2017","19.178","19.178","19.178","19.178","0.00%"
"03/17/2017","19.178","19.178","19.178","19.178","0.00%"
"03/16/2017","19.178","19.178","19.178","19.178","1.77%"
"03/15/2017","18.845","18.845","18.845","18.845","0.01%"
"03/14/2017","18.844","18.844","18.844","18.844","0.00%"
"03/13/2017","18.844","18.844","18.844","18.844","-0.97%"
"03/12/2017","19.029","19.029","19.029","19.029","0.00%"
"03/10/2017","19.029","19.029","19.029","19.029","0.01%"
"03/09/2017","19.028","19.028","19.028","19.028","-4.69%"
"03/08/2017","19.965","19.965","19.965","19.965","0.01%"
"03/07/2017","19.964","19.964","19.964","19.964","0.00%"
"03/06/2017","19.964","19.964","19.964","19.964","0.26%"
"03/05/2017","19.913","19.913","19.913","19.913","0.00%"
"03/03/2017","19.913","19.913","19.913","19.913","0.01%"
"03/02/2017","19.912","19.912","19.912","19.912","0.52%"
"03/01/2017","19.809","19.809","19.809","19.809","0.00%"
"02/28/2017","19.809","19.809","19.809","19.809","0.11%"
"02/27/2017","19.788","19.788","19.788","19.788","4.56%"
"02/26/2017","18.925","18.925","18.925","18.925","0.00%"
"02/24/2017","18.925","18.925","18.925","18.925","0.01%"
"02/23/2017","18.924","18.924","18.924","18.924","-0.01%"
"02/22/2017","18.925","18.925","18.925","18.925","0.00%"
"02/21/2017","18.925","18.925","18.925","18.925","8.13%"
"02/20/2017","17.502","17.502","17.502","17.502","0.00%"
"02/19/2017","17.502","17.502","17.502","17.502","0.00%"
"02/17/2017","17.502","17.502","17.502","17.502","0.01%"
"02/16/2017","17.501","17.501","17.501","17.501","0.00%"
"02/15/2017","17.501","17.501","17.501","17.501","-4.78%"
"02/14/2017","18.379","18.379","18.379","18.379","0.00%"
"02/13/2017","18.379","18.379","18.379","18.379","0.00%"
"02/12/2017","18.379","18.379","18.379","18.379","0.00%"
"02/10/2017","18.379","18.379","18.379","18.379","-5.13%"
"02/09/2017","19.373","19.373","19.373","19.373","0.01%"
"02/08/2017","19.372","19.372","19.372","19.372","-2.70%"
"02/07/2017","19.910","19.910","19.910","19.910","2.78%"
"02/06/2017","19.372","19.372","19.372","19.372","-3.06%"
"02/05/2017","19.983","19.983","19.983","19.983","0.00%"
"02/03/2017","19.983","19.983","19.983","19.983","0.00%"
"02/02/2017","19.983","19.983","19.983","19.983","0.00%"
"02/01/2017","19.983","19.983","19.983","19.983","-1.27%"
"01/31/2017","20.241","20.241","20.241","20.241","1.30%"
"01/30/2017","19.982","19.982","19.982","19.982","-1.03%"
"01/29/2017","20.189","20.189","20.189","20.189","0.00%"
"01/27/2017","20.189","20.189","20.189","20.189","0.00%"
"01/26/2017","20.190","20.190","20.190","20.190","0.00%"
"01/25/2017","20.190","20.190","20.190","20.190","0.00%"
"01/24/2017","20.190","20.190","20.190","20.190","0.00%"
"01/23/2017","20.190","20.190","20.190","20.190","0.25%"
"01/22/2017","20.140","20.140","20.140","20.140","0.00%"
"01/20/2017","20.140","20.140","20.140","20.140","0.00%"
"01/19/2017","20.140","20.140","20.140","20.140","0.00%"
"01/18/2017","20.140","20.140","20.140","20.140","0.08%"
"01/17/2017","20.124","20.124","20.124","20.124","0.00%"
"01/16/2017","20.124","20.124","20.124","20.124","0.93%"
"01/15/2017","19.938","19.938","19.938","19.938","0.00%"
"01/13/2017","19.938","19.938","19.938","19.938","-0.01%"
"01/12/2017","19.939","19.939","19.939","19.939","0.35%"
"01/11/2017","19.870","19.870","19.870","19.870","0.01%"
"01/10/2017","19.869","19.869","19.869","19.869","-0.01%"
"01/09/2017","19.870","19.870","19.870","19.870","-0.09%"
"01/08/2017","19.887","19.887","19.887","19.887","0.00%"
"01/06/2017","19.887","19.887","19.887","19.887","0.00%"
"01/05/2017","19.887","19.887","19.887","19.887","-0.01%"
"01/04/2017","19.889","19.889","19.889","19.889","0.01%"
"01/03/2017","19.888","19.888","19.888","19.888","0.00%"
"01/02/2017","19.888","19.888","19.888","19.888","4.10%"
"12/30/2016","19.105","19.105","19.105","19.105","-0.01%"
"12/29/2016","19.106","19.106","19.106","19.106","-0.34%"
"12/28/2016","19.172","19.172","19.172","19.172","1.65%"
"12/27/2016","18.861","18.861","18.861","18.861","-0.80%"
"12/26/2016","19.013","19.013","19.013","19.013","0.00%"
"12/25/2016","19.013","19.013","19.013","19.013","0.00%"
"12/23/2016","19.013","19.013","19.013","19.013","-0.01%"
"12/22/2016","19.014","19.014","19.014","19.014","2.76%"
"12/21/2016","18.503","18.503","18.503","18.503","-0.01%"
"12/20/2016","18.504","18.504","18.504","18.504","0.01%"
"12/19/2016","18.503","18.503","18.503","18.503","0.40%"
"12/18/2016","18.429","18.429","18.429","18.429","0.00%"
"12/16/2016","18.429","18.429","18.429","18.429","-3.51%"
"12/15/2016","19.099","19.099","19.099","19.099","1.88%"
"12/14/2016","18.746","18.746","18.746","18.746","2.54%"
"12/13/2016","18.282","18.282","18.282","18.282","0.00%"
"12/12/2016","18.282","18.282","18.282","18.282","-0.01%"
"12/11/2016","18.283","18.283","18.283","18.283","0.00%"
"12/09/2016","18.283","18.283","18.283","18.283","0.00%"
"12/08/2016","18.283","18.283","18.283","18.283","-0.32%"
"12/07/2016","18.341","18.341","18.341","18.341","0.13%"
"12/06/2016","18.317","18.317","18.317","18.317","-1.53%"
"12/05/2016","18.601","18.601","18.601","18.601","2.97%"
"12/04/2016","18.065","18.065","18.065","18.065","0.00%"
"12/02/2016","18.065","18.065","18.065","18.065","0.00%"
"12/01/2016","18.065","18.065","18.065","18.065","0.72%"
"11/30/2016","17.935","17.935","17.935","17.935","0.01%"
"11/29/2016","17.934","17.934","17.934","17.934","1.67%"
"11/28/2016","17.640","17.640","17.640","17.640","-0.01%"
"11/27/2016","17.641","17.641","17.641","17.641","0.00%"
"11/25/2016","17.641","17.641","17.641","17.641","0.00%"
"11/24/2016","17.641","17.641","17.641","17.641","1.30%"
"11/23/2016","17.414","17.414","17.414","17.414","-0.67%"
"11/22/2016","17.531","17.531","17.531","17.531","-3.00%"
"11/21/2016","18.073","18.073","18.073","18.073","-1.49%"
"11/18/2016","18.347","18.347","18.347","18.347","-0.01%"
"11/17/2016","18.348","18.348","18.348","18.348","-1.35%"
"11/16/2016","18.600","18.600","18.600","18.600","-1.46%"
"11/15/2016","18.876","18.876","18.876","18.876","-7.10%"
"11/14/2016","20.319","20.319","20.319","20.319","0.00%"
"11/11/2016","20.319","20.319","20.319","20.319","0.00%"
"11/10/2016","20.320","20.320","20.320","20.320","-0.88%"
"11/09/2016","20.500","20.500","20.500","20.500","0.00%"
"11/08/2016","20.500","20.500","20.500","20.500","0.30%"
"11/07/2016","20.438","20.438","20.438","20.438","27.13%"
"11/06/2016","16.077","16.077","16.077","16.077","0.00%"
"11/04/2016","16.077","16.077","16.077","16.077","0.01%"
"11/03/2016","16.076","16.076","16.076","16.076","-1.20%"
"11/02/2016","16.271","16.271","16.271","16.271","0.00%"
"11/01/2016","16.271","16.271","16.271","16.271","0.00%"
